top_n,hold_days,min_score,take_profit,stop_loss,total_return,annual_return,max_drawdown,sharpe,trade_count,final_equity
10,5,0.55,0.03,,0.07398783754055183,0.16618609597821932,-0.017035723030822347,2.8205043077393808,40.0,1073987.8375405518
10,5,0.55,0.03,0.03,0.07398783754055183,0.16618609597821932,-0.017035723030822347,2.8205043077393808,40.0,1073987.8375405518
3,2,0.35,0.05,0.03,0.07475762136666853,0.16798716979244777,-0.015623978892919554,2.8137065685086817,47.0,1074757.6213666685
5,2,0.35,0.05,0.03,0.07475762136666853,0.16798716979244777,-0.015623978892919554,2.8137065685086817,47.0,1074757.6213666685
10,2,0.35,0.05,0.03,0.07475762136666853,0.16798716979244777,-0.015623978892919554,2.8137065685086817,47.0,1074757.6213666685
3,2,0.35,0.05,0.02,0.07448283306281511,0.1673440729211404,-0.01587571570559021,2.8096329561002116,47.0,1074482.833062815
5,2,0.35,0.05,0.02,0.07448283306281511,0.1673440729211404,-0.01587571570559021,2.8096329561002116,47.0,1074482.833062815
10,2,0.35,0.05,0.02,0.07448283306281511,0.1673440729211404,-0.01587571570559021,2.8096329561002116,47.0,1074482.833062815
3,3,0.45,,,0.053514922570762735,0.11883119423235078,-0.009700690908023724,2.8059972050676456,31.0,1053514.9225707627
3,3,0.45,,0.03,0.053514922570762735,0.11883119423235078,-0.009700690908023724,2.8059972050676456,31.0,1053514.9225707627
5,3,0.45,,,0.053514922570762735,0.11883119423235078,-0.009700690908023724,2.8059972050676456,31.0,1053514.9225707627
5,3,0.45,,0.03,0.053514922570762735,0.11883119423235078,-0.009700690908023724,2.8059972050676456,31.0,1053514.9225707627
10,3,0.45,,,0.053514922570762735,0.11883119423235078,-0.009700690908023724,2.8059972050676456,31.0,1053514.9225707627
10,3,0.45,,0.03,0.053514922570762735,0.11883119423235078,-0.009700690908023724,2.8059972050676456,31.0,1053514.9225707627
3,5,0.35,,0.02,0.05725577562861606,0.12740548350587866,-0.01410699536264326,2.7794643142738695,29.0,1057255.775628616
5,5,0.35,,0.02,0.05725577562861606,0.12740548350587866,-0.01410699536264326,2.7794643142738695,29.0,1057255.775628616
10,5,0.35,,0.02,0.05725577562861606,0.12740548350587866,-0.01410699536264326,2.7794643142738695,29.0,1057255.775628616
3,5,0.35,,0.03,0.057474103392447295,0.12790698872865747,-0.01390335760738104,2.7645723889528155,29.0,1057474.1033924473
5,5,0.35,,0.03,0.057474103392447295,0.12790698872865747,-0.01390335760738104,2.7645723889528155,29.0,1057474.1033924473
